POSICION,TRIMESTRE,TRIMESTRE_NUM,TRIMESTRE_LEYENDA,ENTIDAD,MTO_SOLS_CPA,NRO_SOLS_CPA,MTO_PROM_X_SOLC,MTO_CPAS_AUT,NRO_CPAS_AUT,PROM_CPAS_AUT,PORC_CPAS_AUT,MTO_CONT_CARG,NRO_CONT_CARG,PORC_CONT_CARG_VS_CPAS_AUT
9,01/06/2015,42156,2Q 2015,Banregio,152560752,42033,3630,63957661,23072,2772,0.5489,14244,8,0.0003
10,01/06/2015,42156,2Q 2015,Azteca,2665092,944,2823,1153079,446,2585,0.4725,0,0,0
1,01/09/2015,42248,3Q 2015,BBVA Bancomer,4182816865,2136100,1958,3334974275,1723310,1935,0.8068,1459569,294,0.0002
2,01/09/2015,42248,3Q 2015,Banamex,5128959761,2835891,1809,3915751423,2284700,1714,0.8056,5802052,1295,0.0006
3,01/09/2015,42248,3Q 2015,Bancoppel,155181135,202493,766,69265012,111134,623,0.5488,0,0,0
4,01/09/2015,42248,3Q 2015,Santander,1893837658,987046,1919,875454531,489782,1787,0.4962,9700398,2918,0.006
5,01/09/2015,42248,3Q 2015,Banorte0Ixe,2043409226,916269,2230,1044249057,532353,1962,0.581,2289175,943,0.0018
6,01/09/2015,42248,3Q 2015,HSBC,1085247376,548164,1980,571379381,312921,1826,0.5709,5403150,1685,0.0054
7,01/09/2015,42248,3Q 2015,Scotiabank,452893511,213987,2116,237367875,113640,2089,0.5311,1762862,419,0.0037
8,01/09/2015,42248,3Q 2015,Invex,213219359,70122,3041,44064443,20733,2125,0.2957,580869,201,0.0097
9,01/09/2015,42248,3Q 2015,Banregio,135986391,39238,3466,64991010,22022,2951,0.5612,65771,28,0.0013
10,01/09/2015,42248,3Q 2015,Azteca,3006802,1007,2986,1053267,433,2432,0.43,0,0,0
1,01/12/2015,42339,4Q 2015,BBVA Bancomer,4497611301,2314478,1943,3539591096,1851795,1911,0.8001,1459569,294,0.0002
2,01/12/2015,42339,4Q 2015,Banamex,6105548599,3170231,1926,4591507116,2548255,1802,0.8038,5802052,1295,0.0005
3,01/12/2015,42339,4Q 2015,Bancoppel,171393306,221390,774,82843293,134215,617,0.6062,0,0,0
4,01/12/2015,42339,4Q 2015,Santander,1466762640,733904,1999,752920172,352494,2136,0.4803,6551618,1951,0.0055
